Country,State,Year,As On Date,Category,"Number Of Houses Sanctioned (UOM:Number), Scaling Factor:1","Number Of Houses Completed (UOM:Number), Scaling Factor:1","Average Construction Time (UOM:Days), Scaling Factor:1","Average Administrative Time (UOM:Days), Scaling Factor:1","Average Financial Transaction Time (UOM:Days), Scaling Factor:1","Actual Average Completion Time (UOM:Days), Scaling Factor:1","Average Completion Time (UOM:Days), Scaling Factor:1"
India,Gujarat,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,90747,87863,210,182,10,402,287
India,Haryana,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,9302,9123,218,251,10,479,455
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,2443,2364,144,78,5,227,234
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,19068,16963,234,135,15,384,419
India,Jharkhand,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,158989,153828,271,221,14,506,325
India,Karnataka,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,49314,27658,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,5565,4931,244,22,6,272,256
India,Ladakh,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,631,631,64,126,27,217,200
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,389522,378369,207,43,12,262,249
India,Maharashtra,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,144027,131277,204,244,26,474,323
India,Meghalaya,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,3715,3300,212,59,6,277,412
India,Mizoram,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,1794,691,223,272,5,500,460
India,Odisha,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,340471,323550,246,114,11,371,280
India,Punjab,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,3998,3933,101,41,5,147,148
India,Rajasthan,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,222780,219335,195,38,8,241,254
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,130213,99160,229,65,6,300,274
India,Telangana,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,3487.32469798675595985690,2612.82737310934315035150,0,0,0,0,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,751.00000000000000000000,437.00000000000000000000,-15.50000000000000000000,139.50000000000000000000,9.00000000000000000000,133.00000000000000000000,199.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,1259,1221,241,31,6,278,329
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,394874,391954,126,15,20,161,169
India,Uttarakhand,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,4086,4020,134,98,5,237,223
India,West Bengal,"Financial Year (Apr - Mar), 2017",11-Mar-2026,All Category,375054,369623,190,70,13,273,242
