Country,State,Year,As On Date,Category,"Number Of Houses Sanctioned (UOM:Number), Scaling Factor:1","Number Of Houses Completed (UOM:Number), Scaling Factor:1","Average Construction Time (UOM:Days), Scaling Factor:1","Average Administrative Time (UOM:Days), Scaling Factor:1","Average Financial Transaction Time (UOM:Days), Scaling Factor:1","Actual Average Completion Time (UOM:Days), Scaling Factor:1","Average Completion Time (UOM:Days), Scaling Factor:1"
India,Gujarat,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,1937,1120,88,24,5,117,150
India,Haryana,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,604,0,0,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,3559,119,53,18,5,76,107
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,2303,0,0,0,0,0,0
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,1897,45,54,56,7,117,137
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,32.37334755722979393603,0.00000000000000000000,0,0,0,0,0
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,8057.03949962206962413983,5.88606319222359889746,41,11,4,56,100
India,Jharkhand,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,368223,17896,100,21,5,126,121
India,Jharkhand,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,97174,34507,176,40,5,221,197
India,Kerala,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,7480,1,63,12,4,79,78
India,Kerala,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,5806,117,123,22,5,150,143
India,Ladakh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,0.62665244277020606397,0.00000000000000000000,0,0,0,0,0
India,Ladakh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,155.96050037793037586017,0.11393680777640110254,41,11,4,56,100
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,386499,3881,56,15,8,79,76
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,196145,11771,93,18,8,119,112
India,Maharashtra,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,21112,1,33,10,5,48,48
India,Maharashtra,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,67635,1843,67,29,9,105,100
India,Manipur,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,1322,0,0,0,0,0,0
India,Nagaland,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,2599,0,0,0,0,0,0
India,Nagaland,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,1,0,0,0,0,0,0
India,Punjab,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,11555,0,0,0,0,0,0
India,Punjab,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,8612,51,87,6,3,96,96
India,Rajasthan,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,374293,1038,47,23,5,75,76
India,Rajasthan,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,116288,24204,72,-32,14,54,153
India,Sikkim,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,64,0,0,0,0,0,0
India,Sikkim,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,18,0,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,226551,0,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,131958,7837,27,52,8,87,82
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,4.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,156243,5,48,2,5,55,71
India,Tripura,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,38825,15977,170,37,6,213,228
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,427187,313111,111,24,7,142,136
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,240721,233126,128,30,8,166,156
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,2782,0,0,0,0,0,0
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,1537,734,166,31,7,204,195
India,West Bengal,"Financial Year (Apr - Mar), 2021",11-Mar-2026,All Category,151175,21354,62,26,3,91,85
India,West Bengal,"Financial Year (Apr - Mar), 2021",11-Mar-2026,SC,14701,10146,111,44,5,160,135
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2020",11-Mar-2026,All Category,517,199,158,33,5,196,194
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",11-Mar-2026,All Category,12626,3,51,9,4,64,113
India,Assam,"Financial Year (Apr - Mar), 2020",11-Mar-2026,All Category,269291,14018,67,31,4,102,143
India,Bihar,"Financial Year (Apr - Mar), 2020",11-Mar-2026,All Category,239137,129360,107,40,7,154,135
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",11-Mar-2026,All Category,157815,0,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",11-Mar-2026,All Category,87550,714,84,79,4,167,226
