Country,State,Year,As On Date,Category,"Registered (UOM:Number), Scaling Factor:1","Sanctioned (UOM:Number), Scaling Factor:1","Eligible For Lpg Connection (UOM:Number), Scaling Factor:1","House With Lpg Connection (UOM:Number), Scaling Factor:1","Swachh Bharat Mission Number (UOM:Number), Scaling Factor:1","Job Card Number Mapped (UOM:Number), Scaling Factor:1"
India,Jharkhand,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,310832,347686,0,0,0,310759
India,Karnataka,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,311317,313982,0,0,0,311316
India,Kerala,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,61708,41745,0,0,0,61708
India,Ladakh,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,0,0,0,0,0,0
India,Lakshadweep,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,0,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,700628,1146523,0,0,0,700580
India,Maharashtra,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,2415043,1903536,0,0,0,2415005
India,Manipur,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,903,599,0,0,0,903
India,Meghalaya,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,0,0,0,0,0,0
India,Mizoram,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,0,0,0,0,0,0
India,Nagaland,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,0,0,0,0,0,0
India,Odisha,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,361,102670,0,0,0,361
India,Punjab,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,24277,37127,0,0,0,24277
India,Rajasthan,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,480475,500372,0,0,0,480473
India,Sikkim,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,0,0,0,0,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,14993,17147,0,0,0,14992
India,Telangana,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,20.27860332850808405306,208.99376899788943768970,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,20.27860332850808405306
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,10.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,0,0,0,0,0,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,22208,44121,0,0,0,22208
India,Uttarakhand,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,0,0,0,0,0,0
India,West Bengal,"Financial Year (Apr - Mar), 2024",03-Dec-2025,All Category,0,0,0,0,0,0
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,914,1129,0,0,0,907
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,0,0,0,0,0,0
India,Assam,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,466242,215836,0,0,0,466242
India,Bihar,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,61,0,0,0,0,61
India,Chhattisgarh,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,80,0,15,0,3,80
India,Goa,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,0,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,8,0,0,0,0,8
India,Haryana,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,0,0,0,0,0,0
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,12880,12832,0,0,0,12880
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,91333,136542,0,0,0,91316
India,Jharkhand,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,15,0,0,0,0,15
India,Karnataka,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,99,0,0,0,0,99
India,Kerala,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,3,0,0,0,0,3
India,Ladakh,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,757,1125,0,0,0,757
India,Lakshadweep,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,0,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,0,0,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,202,0,0,0,0,202
India,Manipur,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,26764,56459,0,0,0,26764
India,Meghalaya,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,105706,106162,0,0,0,105692
India,Mizoram,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,7111,9452,0,0,0,7111
